patient_id,first_name,last_name,ssn,dob,age,phone,email,street,city,state,zip,mrn,diagnosis,visit_date,blood_pressure,heart_rate,temperature_f,weight_kg,height_cm,glucose_mg_dl,cholesterol_mg_dl
P0251,Robert,Martinez,407-74-6307,2007-10-06,18,555-802-6460,robert.martinez44@email.com,6588 Cedar Dr,Denver,MA,33020,MRN303440,Rheumatoid Arthritis,2025-06-08,176/90,90,99.0,95.2,180,109,267
P0252,Paul,Lewis,443-69-7782,2000-03-13,25,555-406-6169,paul.lewis72@email.com,8879 Main Ave,Seattle,WA,53479,MRN938373,Hyperlipidemia,2025-10-26,109/77,61,97.8,76.3,184,112,296
P0253,Joshua,Gonzalez,291-86-2914,1967-12-17,57,555-978-6152,joshua.gonzalez91@email.com,618 Maple Blvd,Chicago,FL,41148,MRN489633,Atrial Fibrillation,2025-06-27,117/93,79,97.4,76.2,152,121,173
P0254,Mark,Taylor,125-71-9192,1988-09-01,37,555-448-8921,mark.taylor94@email.com,8679 Maple Rd,Houston,NY,77652,MRN809589,Coronary Artery Disease,2025-08-15,94/89,84,98.8,86.6,150,149,161
P0255,Joshua,Ramirez,189-52-8649,2002-10-13,23,555-633-6119,joshua.ramirez3@email.com,9562 Maple Ave,San Jose,CA,35237,MRN400487,Anxiety Disorder,2025-03-01,130/109,88,98.7,69.1,160,140,179
P0256,James,Martin,673-75-2677,1981-03-07,44,555-458-6218,james.martin35@email.com,2419 Cedar Rd,Seattle,CA,32449,MRN174703,Osteoarthritis,2025-01-19,133/94,88,97.1,52.0,193,82,177
P0257,Matthew,Johnson,188-64-7421,1984-12-13,40,555-710-8304,matthew.johnson79@email.com,5926 Maple Rd,Philadelphia,CO,97932,MRN948612,Pneumonia,2025-10-19,149/96,68,97.2,106.2,194,189,174
P0258,Sandra,Martinez,800-92-8625,1947-08-22,78,555-329-3354,sandra.martinez79@email.com,4327 Maple Blvd,Phoenix,CO,97186,MRN446373,Rheumatoid Arthritis,2025-04-10,152/61,64,98.2,74.6,179,113,222
P0259,Daniel,Martin,688-26-9322,1994-05-13,31,555-937-2752,daniel.martin42@email.com,9211 Cedar St,Dallas,OH,70420,MRN520286,UTI,2025-05-01,120/99,75,98.4,118.2,174,86,237
P0260,Susan,Clark,810-85-8063,1952-03-01,73,555-906-6606,susan.clark70@email.com,3969 Oak St,Seattle,FL,24984,MRN720928,Cellulitis,2025-04-05,131/95,66,99.1,62.3,175,87,177
P0261,Joshua,Harris,939-58-6364,1944-01-23,81,555-776-2007,joshua.harris12@email.com,3665 Oak Dr,Boston,IL,96623,MRN256464,Atrial Fibrillation,2025-03-01,127/84,99,98.4,63.7,193,151,226
P0262,Andrew,Sanchez,795-48-8122,1963-10-30,62,555-696-1133,andrew.sanchez79@email.com,8462 Pine Ave,Dallas,MA,58394,MRN675547,Hypertension,2025-11-28,180/95,82,97.3,69.8,151,130,260
P0263,Donna,Gonzalez,740-50-7271,1956-06-03,69,555-545-9931,donna.gonzalez28@email.com,2941 Pine Ave,Philadelphia,OH,60409,MRN984293,Hyperlipidemia,2025-04-29,109/78,68,97.3,55.0,151,106,274
P0264,Margaret,Jones,186-27-7813,1948-12-26,76,555-718-7974,margaret.jones80@email.com,3045 Pine Dr,Fort Worth,OH,68988,MRN503402,Hyperlipidemia,2025-08-05,113/87,98,97.0,84.9,165,198,218
P0265,Anthony,Robinson,659-83-7012,2003-11-15,22,555-681-8917,anthony.robinson91@email.com,6138 Main Dr,Charlotte,CO,20494,MRN248989,Osteoporosis,2025-03-04,125/89,93,97.2,112.3,155,132,270
P0266,Robert,Perez,748-79-6119,2001-06-12,24,555-647-1176,robert.perez61@email.com,7538 Elm Blvd,Seattle,CO,53452,MRN541467,Hyperlipidemia,2025-07-01,127/70,62,98.7,91.8,169,136,165
P0267,Donald,Jackson,273-83-1845,1970-01-27,55,555-127-5699,donald.jackson63@email.com,1451 Oak Dr,Chicago,TX,43036,MRN238976,Cellulitis,2025-07-08,125/76,60,98.9,92.3,187,108,264
P0268,Lisa,Sanchez,279-43-4869,1945-09-17,80,555-918-9640,lisa.sanchez5@email.com,5717 Main Ave,Denver,IL,75004,MRN889327,Sleep Apnea,2025-05-16,120/102,88,98.8,61.7,186,158,163
P0269,Thomas,Harris,939-24-1860,1986-04-15,39,555-508-8802,thomas.harris39@email.com,7903 Cedar Dr,San Antonio,PA,99589,MRN839883,Obesity,2025-03-31,123/69,93,99.2,50.8,178,167,230
P0270,Kimberly,Perez,142-22-9704,1962-05-07,63,555-725-5466,kimberly.perez43@email.com,4529 Maple St,San Diego,WA,86569,MRN510154,Atrial Fibrillation,2024-12-18,120/106,97,98.9,86.4,193,116,230
P0271,Emily,Smith,788-11-2113,2006-05-07,19,555-200-9605,emily.smith14@email.com,7406 Maple Ave,Dallas,TX,35307,MRN135695,Diabetes Type 2,2025-01-15,101/63,98,98.6,108.5,188,101,180
P0272,Jennifer,Ramirez,719-26-7159,1935-09-18,90,555-213-4018,jennifer.ramirez33@email.com,4926 Pine St,Columbus,TX,65965,MRN825846,Migraine,2025-06-16,122/70,64,97.7,54.4,174,155,165
P0273,Thomas,Clark,371-32-8218,1999-03-29,26,555-305-7432,thomas.clark23@email.com,8161 Main Ave,Indianapolis,PA,38624,MRN743790,GERD,2025-10-05,146/105,76,97.3,55.1,186,134,264
P0274,Mary,Lewis,609-29-1014,2002-12-29,22,555-499-5365,mary.lewis20@email.com,5503 Pine Dr,Boston,OH,74314,MRN601365,Sleep Apnea,2025-05-06,98/94,74,97.0,116.8,180,101,295
P0275,Paul,Robinson,467-52-5961,1956-11-17,69,555-747-2485,paul.robinson47@email.com,8859 Maple St,Columbus,TX,94907,MRN312987,Heart Failure,2025-02-18,95/84,72,97.7,77.3,156,161,274
P0276,Jennifer,Lewis,747-66-4104,1990-11-19,35,555-297-1415,jennifer.lewis93@email.com,9814 Oak Blvd,Jacksonville,NY,80851,MRN774661,Osteoarthritis,2025-03-18,158/88,61,97.1,53.9,152,173,180
P0277,Susan,Sanchez,769-95-9570,1949-01-04,76,555-991-9791,susan.sanchez20@email.com,9592 Oak St,New York,CO,28558,MRN612643,GERD,2025-11-19,150/99,62,97.6,95.4,150,114,162
P0278,Karen,Clark,912-22-8474,1986-02-09,39,555-165-2742,karen.clark15@email.com,8245 Elm Dr,San Antonio,NY,36560,MRN546915,Rheumatoid Arthritis,2024-12-16,141/80,67,99.4,90.3,158,152,204
P0279,John,Jackson,277-52-2035,1992-07-19,33,555-244-7801,john.jackson22@email.com,6160 Elm Ave,Columbus,CA,86282,MRN142675,Coronary Artery Disease,2025-10-08,170/99,84,98.9,51.1,181,90,151
P0280,James,Garcia,191-93-5648,1953-12-26,71,555-926-8798,james.garcia89@email.com,2179 Oak Ave,San Diego,OH,69037,MRN532046,Depression,2025-08-31,168/104,62,98.5,100.2,189,92,227
P0281,Daniel,Wilson,104-81-4860,1983-10-10,42,555-642-2567,daniel.wilson80@email.com,6029 Elm Dr,San Antonio,FL,92111,MRN791354,Chronic Kidney Disease,2025-07-10,96/72,67,99.0,98.0,180,197,195
P0282,David,Perez,144-16-6966,1971-08-27,54,555-545-5118,david.perez43@email.com,7524 Main St,New York,OH,33053,MRN265722,Diabetes Type 2,2025-03-25,155/67,64,99.2,100.5,187,153,257
P0283,Richard,White,793-51-4769,1993-06-23,32,555-333-2606,richard.white31@email.com,6859 Oak Blvd,San Antonio,NY,71733,MRN713513,Stroke,2025-11-01,145/69,73,99.3,81.8,174,165,184
P0284,Sandra,White,298-90-6875,1973-08-30,52,555-443-3084,sandra.white5@email.com,9417 Main Rd,Houston,NY,71018,MRN580854,Sleep Apnea,2025-09-02,133/74,78,98.5,105.3,190,113,297
P0285,Emily,Ramirez,335-21-7745,1941-04-13,84,555-982-4546,emily.ramirez76@email.com,7857 Pine Rd,Boston,CO,66113,MRN871939,Depression,2025-07-25,131/87,97,97.6,114.9,159,71,256
P0286,John,Johnson,581-74-1550,1953-03-20,72,555-503-8852,john.johnson90@email.com,1705 Pine Blvd,San Antonio,NY,83202,MRN889660,Diabetes Type 2,2024-12-09,142/73,68,97.9,66.7,155,74,272
P0287,Karen,Garcia,820-68-1399,1949-04-24,76,555-890-3271,karen.garcia91@email.com,6741 Oak Rd,Columbus,CO,93021,MRN101429,GERD,2025-10-23,139/104,81,98.3,70.8,167,123,170
P0288,Michelle,Lewis,443-17-9433,1961-11-18,64,555-213-7274,michelle.lewis47@email.com,7724 Elm St,Austin,AZ,32972,MRN779658,Pneumonia,2024-12-03,98/95,73,97.3,73.4,184,99,272
P0289,Donna,Ramirez,819-36-4693,1966-06-16,59,555-373-9250,donna.ramirez88@email.com,7029 Maple St,Chicago,AZ,55249,MRN574386,Stroke,2025-03-17,157/67,90,98.8,97.5,184,144,265
P0290,Michelle,Lopez,919-96-2075,1983-04-19,42,555-189-2313,michelle.lopez51@email.com,3029 Maple St,Los Angeles,IL,46168,MRN217466,Back Pain,2025-09-14,153/69,73,98.3,93.9,168,176,288
P0291,William,Thomas,455-63-8272,2005-07-07,20,555-293-2031,william.thomas3@email.com,3906 Elm Rd,Fort Worth,NC,54930,MRN787614,GERD,2025-06-14,152/97,93,99.1,81.2,169,103,228
P0292,David,Sanchez,366-39-8933,1960-07-20,65,555-888-1775,david.sanchez19@email.com,5885 Maple Blvd,Phoenix,NC,31075,MRN846389,Pneumonia,2025-07-05,113/71,69,97.4,58.2,170,102,262
P0293,Thomas,Lopez,288-36-1568,1967-06-20,58,555-251-7109,thomas.lopez58@email.com,8945 Oak Dr,Dallas,NY,13266,MRN524214,Stroke,2025-09-15,148/80,69,97.0,101.7,182,154,225
P0294,Donald,Lewis,396-83-3409,1935-05-09,90,555-446-2840,donald.lewis94@email.com,7947 Main Ave,Indianapolis,NY,50380,MRN126000,Obesity,2025-01-16,118/88,82,97.2,53.9,191,119,299
P0295,Kimberly,Davis,900-45-4206,2005-10-22,20,555-651-8298,kimberly.davis87@email.com,1531 Elm Blvd,Philadelphia,FL,51649,MRN732471,Cellulitis,2025-03-12,97/102,83,98.0,100.1,177,164,248
P0296,Lisa,Smith,391-54-6756,1968-04-28,57,555-995-2435,lisa.smith28@email.com,7378 Cedar Blvd,Columbus,TX,31468,MRN944809,Osteoporosis,2025-04-25,143/68,97,98.5,60.1,169,191,284
P0297,Nancy,Williams,704-58-2449,2007-05-08,18,555-754-5478,nancy.williams54@email.com,2965 Elm Blvd,Seattle,IL,36117,MRN295041,Obesity,2025-07-03,160/91,62,99.1,71.1,187,147,276
P0298,Emily,White,574-38-1439,2007-09-16,18,555-368-5917,emily.white82@email.com,7842 Main Rd,Fort Worth,IL,74472,MRN821255,GERD,2025-07-26,93/67,77,98.2,117.9,188,162,298
P0299,Donald,Jackson,546-43-8799,1992-05-29,33,555-624-1287,donald.jackson34@email.com,2768 Elm St,Houston,AZ,70429,MRN826959,Coronary Artery Disease,2025-05-30,110/63,77,97.9,94.5,172,82,224
P0300,Charles,Taylor,754-19-9419,1983-01-22,42,555-287-2548,charles.taylor77@email.com,2838 Elm Rd,San Jose,WA,49462,MRN384645,Migraine,2024-12-06,178/83,66,98.3,74.6,159,73,185
P0301,Kimberly,Martinez,481-72-7750,1964-09-21,61,555-204-4569,kimberly.martinez20@email.com,8347 Oak Ave,Indianapolis,NC,78898,MRN987168,Pneumonia,2024-11-29,160/104,67,98.0,114.1,157,103,154
P0302,Donald,Lopez,419-98-6940,1990-04-25,35,555-711-9570,donald.lopez98@email.com,5704 Oak Rd,Boston,CO,25544,MRN333159,Coronary Artery Disease,2024-12-08,108/104,74,97.8,64.7,155,178,178
P0303,Robert,Smith,893-71-8065,2002-08-26,23,555-210-1537,robert.smith85@email.com,8512 Elm St,Charlotte,NY,43162,MRN145383,Asthma,2025-06-27,175/60,66,99.0,114.4,163,121,197
P0304,Daniel,Smith,192-28-5544,1933-06-26,92,555-460-3630,daniel.smith65@email.com,4062 Elm Dr,Chicago,NY,85777,MRN900319,Diabetes Type 2,2025-03-03,117/105,72,99.4,62.0,184,71,175
P0305,Susan,Robinson,616-70-7004,1932-09-18,93,555-550-2758,susan.robinson24@email.com,5913 Pine Blvd,Philadelphia,OH,39825,MRN527376,COPD,2025-06-21,105/89,67,98.3,84.7,173,143,292
P0306,John,Williams,435-73-2895,1958-07-23,67,555-567-6111,john.williams88@email.com,7373 Oak Dr,Fort Worth,TX,66093,MRN297955,Asthma,2025-03-30,176/83,71,97.0,97.2,193,96,251
P0307,Mark,Taylor,774-96-2392,1992-09-24,33,555-504-7563,mark.taylor89@email.com,9775 Main Ave,Chicago,AZ,36094,MRN455081,Chronic Kidney Disease,2025-01-28,141/67,74,99.1,100.8,167,139,252
P0308,Daniel,Thomas,782-87-7626,1945-04-01,80,555-385-3414,daniel.thomas99@email.com,7548 Main St,San Diego,FL,75178,MRN342034,GERD,2025-09-21,93/66,63,99.1,84.9,151,115,247
P0309,Joshua,Perez,434-29-5960,1995-10-28,30,555-776-9518,joshua.perez99@email.com,8164 Pine Ave,Dallas,WA,75260,MRN614064,Cancer,2025-07-18,159/81,94,98.4,116.7,152,180,180
P0310,Matthew,Anderson,422-58-8250,1949-11-29,76,555-133-3897,matthew.anderson72@email.com,5065 Cedar Ave,Charlotte,PA,27627,MRN427637,Back Pain,2025-05-13,152/108,67,98.4,84.3,185,190,271
P0311,Emily,Ramirez,260-74-1913,1957-08-03,68,555-606-7189,emily.ramirez79@email.com,5879 Maple Rd,New York,MA,87393,MRN147310,Coronary Artery Disease,2025-05-25,134/107,97,97.1,112.4,171,167,174
P0312,Margaret,Lopez,465-62-6755,2000-01-01,25,555-350-5056,margaret.lopez31@email.com,5213 Elm St,Chicago,TX,25003,MRN453993,Heart Failure,2025-11-18,158/80,62,98.2,110.4,186,177,218
P0313,Mary,Thompson,580-85-1364,1967-06-03,58,555-684-7394,mary.thompson42@email.com,9480 Main Blvd,Los Angeles,CO,98488,MRN315910,Rheumatoid Arthritis,2025-03-19,154/108,81,97.4,71.0,177,121,277
P0314,Robert,Clark,970-78-4507,1971-07-30,54,555-148-5871,robert.clark74@email.com,6686 Oak Dr,Chicago,CO,85784,MRN199335,UTI,2025-06-09,124/64,96,99.0,83.3,163,158,169
P0315,Karen,Taylor,923-48-8092,1938-07-13,87,555-304-7788,karen.taylor52@email.com,4216 Elm Dr,Columbus,WA,81770,MRN289373,Diabetes Type 2,2025-01-11,180/93,71,98.4,64.9,179,138,286
P0316,Michelle,Ramirez,887-65-1981,1941-09-08,84,555-473-8577,michelle.ramirez19@email.com,4038 Oak Rd,Fort Worth,PA,51766,MRN970542,Asthma,2025-01-08,116/86,77,99.1,95.2,166,130,253
P0317,Jessica,Brown,253-34-1453,1976-07-05,49,555-575-8952,jessica.brown72@email.com,7245 Pine St,Philadelphia,IL,45744,MRN243057,Diabetes Type 2,2025-07-19,125/102,95,97.4,109.7,181,75,164
P0318,Jennifer,Hernandez,716-48-2041,1955-06-13,70,555-787-2479,jennifer.hernandez51@email.com,2402 Oak St,Seattle,CO,75568,MRN226502,Cancer,2024-12-23,164/109,93,97.6,111.9,165,101,230
P0319,Nancy,Clark,698-59-4865,1953-08-27,72,555-247-2750,nancy.clark23@email.com,3607 Maple Blvd,Fort Worth,TX,87264,MRN158642,Stroke,2025-02-28,137/104,67,97.8,79.7,193,133,221
P0320,Barbara,Lopez,586-57-6049,2005-01-07,20,555-720-1570,barbara.lopez95@email.com,995 Cedar Ave,San Diego,OH,60422,MRN424291,GERD,2024-12-05,136/103,67,98.3,66.5,178,169,152
P0321,Betty,Robinson,361-48-2478,1977-07-11,48,555-315-3625,betty.robinson57@email.com,5296 Cedar Blvd,New York,TX,20498,MRN963185,Hypothyroidism,2025-03-22,150/107,86,99.3,73.3,177,95,191
P0322,Thomas,Taylor,167-55-7895,1930-03-17,95,555-855-6353,thomas.taylor59@email.com,548 Main Ave,Columbus,WA,27837,MRN103225,Obesity,2025-08-18,170/79,80,98.4,57.8,165,103,255
P0323,Christopher,Anderson,589-27-5270,1984-12-22,40,555-707-6367,christopher.anderson37@email.com,3354 Main Blvd,Austin,IL,61576,MRN495648,UTI,2025-08-06,92/61,95,98.6,93.9,155,188,200
P0324,Thomas,Thompson,972-31-1815,1956-02-03,69,555-539-5262,thomas.thompson20@email.com,1559 Maple Ave,Seattle,NY,11850,MRN853489,Cancer,2025-04-20,148/103,91,97.3,99.9,162,138,223
P0325,Ashley,Gonzalez,233-65-4385,1931-09-03,94,555-943-5636,ashley.gonzalez94@email.com,3202 Pine Ave,Fort Worth,IL,13771,MRN404289,Anxiety Disorder,2025-07-31,169/88,75,97.9,97.9,179,91,152
P0326,Donald,Jones,992-51-7513,1979-12-10,45,555-492-7935,donald.jones95@email.com,9884 Maple St,Los Angeles,OH,17700,MRN154644,Rheumatoid Arthritis,2025-07-31,150/82,98,99.3,117.7,188,81,151
P0327,Thomas,Taylor,734-58-5956,1957-01-06,68,555-479-3166,thomas.taylor72@email.com,773 Elm Ave,San Diego,IL,76027,MRN616780,Rheumatoid Arthritis,2025-04-03,106/65,80,98.8,80.3,166,99,230
P0328,John,Jones,611-45-6907,1952-07-25,73,555-997-5312,john.jones79@email.com,4421 Elm Rd,Fort Worth,IL,51358,MRN872663,Stroke,2025-09-12,161/102,100,99.0,53.7,159,83,208
P0329,Elizabeth,Johnson,581-43-3679,1948-05-08,77,555-218-9108,elizabeth.johnson6@email.com,7333 Maple Dr,Charlotte,FL,74616,MRN217955,Osteoporosis,2025-09-14,105/82,65,97.5,69.9,160,200,219
P0330,Andrew,Lewis,779-84-4479,1933-12-19,92,555-638-3958,andrew.lewis54@email.com,1358 Oak Blvd,Los Angeles,AZ,13402,MRN398090,Migraine,2024-12-15,105/85,83,98.5,116.6,170,109,157
P0331,Jennifer,Anderson,950-94-8861,1949-01-30,76,555-375-1095,jennifer.anderson43@email.com,818 Cedar Dr,Columbus,AZ,84600,MRN235602,Chronic Kidney Disease,2025-11-04,172/78,80,99.0,102.1,185,167,173
P0332,Betty,Rodriguez,282-40-7535,1996-11-25,29,555-972-4411,betty.rodriguez21@email.com,6465 Pine Rd,Houston,NY,49131,MRN614688,Sleep Apnea,2025-06-23,177/98,68,97.9,56.7,173,121,275
P0333,Mark,Lewis,497-70-5398,1935-02-17,90,555-533-2478,mark.lewis97@email.com,7022 Maple Dr,Phoenix,PA,92665,MRN546711,Asthma,2025-11-08,155/81,89,98.7,95.3,195,109,276
P0334,Kimberly,Lee,762-77-2375,1970-04-17,55,555-547-2297,kimberly.lee62@email.com,5021 Oak Ave,Dallas,CA,78562,MRN548509,Osteoarthritis,2025-02-10,96/95,64,99.3,85.9,182,178,255
P0335,Michael,Anderson,776-82-5151,1962-08-06,63,555-699-2339,michael.anderson99@email.com,8348 Main St,Columbus,IL,33882,MRN983855,Obesity,2025-11-05,100/86,79,97.8,100.7,192,185,217
P0336,Nancy,Robinson,992-33-4458,1984-10-29,41,555-864-5248,nancy.robinson87@email.com,1842 Pine Dr,Boston,MA,61764,MRN222346,Diabetes Type 2,2025-09-02,173/90,89,98.7,110.8,188,194,227
P0337,Michelle,Clark,731-56-7471,1969-10-29,56,555-228-3213,michelle.clark2@email.com,3226 Main St,Philadelphia,MA,37424,MRN604487,GERD,2025-09-15,173/75,87,99.1,110.1,184,118,172
P0338,Karen,Harris,574-28-8765,1953-12-05,72,555-219-3721,karen.harris20@email.com,7395 Pine Blvd,Boston,FL,86706,MRN354415,Chronic Kidney Disease,2025-07-01,162/85,63,97.8,57.2,195,180,256
P0339,Ashley,White,692-86-5764,2003-03-30,22,555-509-8964,ashley.white66@email.com,9783 Cedar Dr,Charlotte,CA,17956,MRN653971,Diabetes Type 2,2025-04-26,163/80,95,97.2,112.5,176,191,179
P0340,Ashley,Martin,761-54-8345,1952-12-06,73,555-265-5718,ashley.martin93@email.com,3249 Pine Rd,Columbus,CA,76536,MRN330374,UTI,2024-12-13,133/98,89,97.3,70.5,195,169,256
P0341,Lisa,Sanchez,583-30-4394,1970-12-24,54,555-867-2412,lisa.sanchez86@email.com,8011 Oak Ave,Philadelphia,IL,89396,MRN616094,COPD,2025-04-30,153/79,75,97.5,53.3,151,161,216
P0342,Daniel,Perez,262-32-9248,2003-11-02,22,555-445-8055,daniel.perez15@email.com,3814 Main Dr,San Antonio,FL,43793,MRN456855,Hyperlipidemia,2025-11-05,161/77,69,99.1,111.2,188,96,162
P0343,Mark,Sanchez,568-24-2734,1994-02-22,31,555-142-9311,mark.sanchez14@email.com,2836 Cedar St,Philadelphia,AZ,30582,MRN863729,Osteoarthritis,2024-12-01,146/108,92,98.2,110.9,159,163,235
P0344,William,Brown,968-35-8194,1954-12-13,71,555-351-8760,william.brown44@email.com,4798 Elm Ave,Chicago,TX,58815,MRN849941,Hypothyroidism,2025-04-30,136/100,75,97.4,102.7,176,128,185
P0345,Margaret,Wilson,519-68-9456,1961-11-29,64,555-553-3385,margaret.wilson99@email.com,262 Cedar Dr,Chicago,NY,54342,MRN430096,Obesity,2025-09-05,145/63,85,98.9,96.2,191,108,297
P0346,Patricia,Lee,830-94-9516,1970-05-12,55,555-511-5986,patricia.lee93@email.com,5239 Maple St,San Diego,OH,90006,MRN253995,Back Pain,2025-05-06,147/101,73,99.2,93.7,189,183,238
P0347,Betty,Harris,302-48-2380,2003-03-04,22,555-442-7389,betty.harris93@email.com,2164 Elm Dr,Dallas,CA,22166,MRN636526,Pneumonia,2025-06-22,156/81,100,97.4,52.0,184,136,211
P0348,Karen,White,532-74-2809,2000-05-28,25,555-365-9314,karen.white46@email.com,2128 Main St,Columbus,TX,85030,MRN872652,Diabetes Type 2,2025-04-10,133/75,97,98.4,112.6,190,129,239
P0349,Karen,Martinez,782-83-3293,1959-03-24,66,555-855-5057,karen.martinez14@email.com,5471 Elm Dr,Philadelphia,AZ,69547,MRN202747,Coronary Artery Disease,2024-11-29,144/86,65,97.2,79.7,158,191,204
P0350,Mark,Williams,478-96-9622,1956-02-18,69,555-672-9502,mark.williams51@email.com,4420 Elm Blvd,Fort Worth,FL,74165,MRN867260,Sleep Apnea,2025-09-06,108/92,68,98.2,82.0,195,100,204
P0351,Sandra,Thomas,133-30-7051,1992-02-02,33,555-972-7694,sandra.thomas15@email.com,2080 Maple Dr,Dallas,MA,78521,MRN260751,COPD,2025-05-22,129/83,79,97.7,52.0,159,106,300
P0352,Anthony,Johnson,412-46-4532,1984-04-02,41,555-102-3004,anthony.johnson71@email.com,5812 Main St,Fort Worth,FL,85112,MRN424745,UTI,2025-04-11,133/110,84,98.2,100.4,188,103,185
P0353,Steven,Lee,571-67-8357,1988-06-24,37,555-191-7711,steven.lee50@email.com,3914 Pine Rd,Indianapolis,MA,97876,MRN564620,Osteoporosis,2025-07-09,172/65,70,98.8,90.0,195,149,293
P0354,Linda,Lee,672-20-4152,1938-02-28,87,555-875-1866,linda.lee73@email.com,8648 Oak Blvd,San Francisco,MA,25765,MRN790229,Pneumonia,2025-08-28,92/77,73,97.6,99.4,187,183,171
P0355,Paul,Martin,428-61-1737,1945-12-07,80,555-448-8160,paul.martin24@email.com,6898 Main Dr,San Jose,PA,43708,MRN195446,COPD,2025-10-09,159/70,78,97.4,67.9,155,109,228
P0356,Anthony,Perez,273-17-6329,1984-11-25,41,555-830-1958,anthony.perez39@email.com,6488 Main Rd,Houston,PA,52495,MRN370463,Obesity,2025-09-28,96/72,75,98.9,91.0,181,200,279
P0357,Matthew,Brown,375-17-6215,1948-03-09,77,555-516-2072,matthew.brown62@email.com,573 Pine Ave,Boston,TX,82623,MRN714646,Migraine,2025-10-08,121/108,95,98.6,58.8,186,174,264
P0358,Jennifer,Ramirez,751-74-4333,1989-05-30,36,555-653-3755,jennifer.ramirez32@email.com,8906 Pine Dr,Columbus,MA,10131,MRN952118,Atrial Fibrillation,2025-01-15,127/101,70,97.0,115.3,180,139,214
P0359,Matthew,Lopez,962-90-4485,1933-04-04,92,555-388-1745,matthew.lopez21@email.com,8850 Elm St,Dallas,NY,61813,MRN832356,COPD,2025-09-18,161/77,87,97.5,85.3,170,157,216
P0360,Mark,Rodriguez,351-94-6269,1964-08-28,61,555-570-6381,mark.rodriguez3@email.com,2290 Cedar St,Denver,FL,10560,MRN110043,Migraine,2025-09-01,142/95,91,98.9,87.7,191,89,287
P0361,Mary,Lewis,952-95-8293,1992-06-09,33,555-932-7166,mary.lewis77@email.com,5964 Pine Ave,Boston,NY,70646,MRN488477,Chronic Kidney Disease,2025-04-15,91/74,61,98.9,97.6,195,161,199
P0362,Jennifer,Clark,728-90-5967,1979-08-13,46,555-605-6947,jennifer.clark5@email.com,4699 Pine Dr,Philadelphia,MA,35701,MRN961010,GERD,2025-05-10,104/77,96,98.3,61.9,162,114,166
P0363,Donna,Jones,863-18-3087,1974-02-23,51,555-976-4734,donna.jones67@email.com,4594 Oak St,Indianapolis,NC,43150,MRN813745,Pneumonia,2025-04-10,90/87,63,99.1,72.6,176,140,181
P0364,Kimberly,Anderson,607-56-9474,2002-08-12,23,555-148-5553,kimberly.anderson54@email.com,8823 Pine Rd,Boston,PA,35507,MRN450964,Asthma,2025-02-09,93/107,74,99.4,79.7,154,133,200
P0365,David,Hernandez,418-18-2584,2004-04-02,21,555-542-1393,david.hernandez76@email.com,5577 Maple Ave,Los Angeles,FL,41242,MRN457356,Hypertension,2025-06-11,156/110,75,99.4,104.3,189,182,174
P0366,Mark,Jackson,227-20-1994,2003-05-25,22,555-420-2065,mark.jackson17@email.com,1115 Pine St,Dallas,NC,92075,MRN552816,Asthma,2025-10-07,176/63,95,97.1,109.5,175,94,255
P0367,Joseph,Ramirez,713-94-1173,1949-06-04,76,555-575-8014,joseph.ramirez80@email.com,1759 Maple St,Columbus,OH,53017,MRN716366,Chronic Kidney Disease,2025-10-04,103/60,98,98.8,91.5,162,102,280
P0368,Thomas,Lopez,531-71-8284,1984-08-06,41,555-240-1722,thomas.lopez8@email.com,2191 Maple Dr,Fort Worth,OH,95420,MRN891018,Hyperlipidemia,2025-06-22,164/94,69,97.4,71.6,171,144,244
P0369,James,Taylor,700-94-3369,2000-08-05,25,555-619-1894,james.taylor55@email.com,5733 Oak Ave,Philadelphia,NY,54767,MRN298553,Migraine,2025-03-30,178/104,89,98.5,73.2,187,155,226
P0370,Anthony,Hernandez,266-23-8443,2002-03-26,23,555-324-1060,anthony.hernandez82@email.com,3754 Cedar Ave,Columbus,NC,37936,MRN350629,Stroke,2025-06-12,138/73,85,97.5,119.3,173,72,168
P0371,Daniel,Smith,668-24-3333,1970-05-01,55,555-299-6896,daniel.smith6@email.com,586 Oak Ave,Dallas,IL,38697,MRN374725,Osteoporosis,2025-08-31,133/95,75,97.4,51.5,166,95,155
P0372,William,Gonzalez,770-24-6544,1981-07-06,44,555-567-4934,william.gonzalez48@email.com,6200 Cedar Ave,San Francisco,NC,66848,MRN845476,Asthma,2025-09-29,108/68,72,97.5,76.5,173,151,259
P0373,Jessica,Robinson,147-88-4098,1939-07-23,86,555-908-3434,jessica.robinson42@email.com,4149 Main Rd,Houston,OH,86556,MRN612743,Chronic Kidney Disease,2025-10-18,150/110,99,97.2,85.6,191,200,245
P0374,Ashley,Taylor,575-32-6272,1960-03-20,65,555-811-8918,ashley.taylor92@email.com,8206 Pine Rd,Seattle,PA,93637,MRN929029,UTI,2024-12-31,94/73,74,99.2,81.6,165,171,205
P0375,Karen,Wilson,486-83-3575,1960-08-06,65,555-663-2388,karen.wilson18@email.com,1476 Maple Blvd,San Francisco,AZ,40169,MRN712328,Hypertension,2025-04-04,155/99,81,98.1,82.7,176,164,277
P0376,Christopher,Rodriguez,491-13-3942,1951-08-20,74,555-371-2243,christopher.rodriguez46@email.com,1450 Maple Dr,San Francisco,OH,94365,MRN181955,Anxiety Disorder,2025-08-04,102/67,64,97.9,88.2,171,120,234
